Category,All,February,March,April,May,June,July,August,September,October,November,December,January
Activities,1193.8200000000002,4.99,15.996666666666668,9.99,15.651666666666666,78.898,8.067857142857141,43.656666666666666,15.826666666666668,36.620000000000005,21.990000000000002,17.990000000000002,14.0
Food,1824.51,,18.395,21.598,16.992666666666665,17.933124999999997,18.45,15.678888888888887,25.924999999999997,23.465,34.748999999999995,14.415,12.41
Items,904.4800000000001,,31.19,10.86,15.19,25.85,3.22,17.98,27.126666666666665,33.07222222222222,24.95,21.2775,38.355
Other,1273.3000000000002,0.95,13.39,466.875,0.95,0.95,,,50.62,,32.25333333333333,39.0,
Utilities,3176.95,317.455,318.4175,138.14,500.0,308.615,,,,,13.0,,
